,아이디,날짜,맛평점,양평점,배달평점,리뷰
5184,hi**님,2017년 10월 10일,5,4,3,"조금 늦게 쓰게 되었네요.
맛은 보장된 곳입니다. 양이야 뭐 굽네 다른 곳도 똑같죠 프랜차이즈니깐 ㅎㅎ
그런데 배달은 15분 정도 늦게 와서 화날뻔 했어요ㅠㅠ
45분 걸린댔는데 1시간되서 와서 그랬지만 치킨먹고 맘이 풀렸네여."
5185,do**님,2017년 10월 9일,5,5,5,배달도 빠르고 맛도 좋습니다
5186,   손님,2017년 10월 9일,3,3,5,"사장님  항상  시켜먹기는하는데요..
매번맛있기는한데
죄송하지만 유독  볼케이노가  딱딱해요  따뜻하지도않고요
음료 기본에 추가까지인데 기본은 빠져서오고
음....뭐라말씀드리는건아닌데요..  유독오늘만 조금...그렇네요....뻑살이 너무많아요...."
5187,   손님,2017년 10월 9일,5,5,5,맛있어요 다음에 또 시킬께요
5188,   손님,2017년 10월 8일,4,4,4,배달 빠르고 맛있습니다.
5189,   손님,2017년 10월 8일,5,5,5,처음 먹어 봤는데 맛있네요.
5190,ba**님,2017년 10월 8일,5,5,5,굿굿굿맛있어요짱짱짱
5191,   손님,2017년 10월 8일,5,5,5,가족들 입맛에 다 맞았어요 잘먹었습니다~
5192,fp**님,2017년 10월 8일,5,4,5,보드람은 늘 맛있어요 가격대가 좀 있지만 강추입니다
5193,   손님,2017년 10월 7일,5,5,5,항상 먹는곳이라서요~ 10%항상 했으면좋겠어오~ 맛있게 항상 만들어주세요
5194,ko**님,2017년 10월 7일,5,4,5,맛있네요 또 시켜먹을게요
5195,   손님,2017년 10월 5일,5,5,3,ㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱ
5196,   손님,2017년 10월 4일,4,4,4,맛있었습니다^^ 다음에도 주문하려고요
5197,go**님,2017년 10월 3일,5,5,5,항상 주문하는곳이지맛 한번도 실망한적이 없네요^^
5198,   손님,2017년 10월 3일,5,4,5,무난무난합니다 가산점
5199,kh**님,2017년 10월 3일,5,4,5,일주일에 한번씩 시켜먹는데 맛있어요ㅎ
5200,   손님,2017년 10월 2일,5,5,5,최고!!!!!!!!!
5201,ka**님,2017년 10월 1일,5,5,5,"굽네치킨은 항상 여기서 시킵니다.
맛있고 좋아요."
5202,be**님,2017년 10월 1일,2,2,3,아잉 식으니깜 별루냠 ㅠㅠ
5203,   손님,2017년 9월 30일,2,4,3,평소엔 괜찮았는데 너무 타서 왔네요.ㅡㅡ;
5204,   손님,2017년 9월 30일,4,3,4,"가산 굽네 맛있습니다. 
강추에요"
5205,hi**님,2017년 9월 29일,5,4,4,"맛있었어요 늦게 리뷰를 올리게 되었네요.
다른메뉴도 여기서 시켜먹었는데 좋네요."
5206,   손님,2017년 9월 29일,4,3,2,배달은 좀오래걸리네요 근데 맛있어요
5207,pu**님,2017년 9월 28일,5,5,5,늘시켜먹고있는데 맛있어요
5208,   손님,2017년 9월 28일,3,4,5,볼케이노는 정말 맛잇는데 갈비천왕음 생각보다 별로네요 그래도 항상 맛잇게 먹고있습니다
5209,   손님,2017년 9월 27일,4,4,4,배달도 빨리오고 양도 많아서 좋았어요
5210,fp**님,2017년 9월 27일,5,5,5,"굽네 요거 반반 넘 좋아요 담백하고 짭쪼름한맛 
최고에요!!"
5211,   손님,2017년 9월 26일,5,5,5,굽네은 가산동에서만 시켜먹어용 ㅋㅋ 제일 맛있음
5212,br**님,2017년 9월 26일,5,5,5,소스 몇 개 추가해서 다음 날에도 머금 마시씀
5213,br**님,2017년 9월 26일,5,5,5,냠냠 마시씀 다음 날 남은 거 굴소스 넣고 볶음밥 해먹었는데 마시씀
5214,   손님,2017년 9월 26일,-,-,-,구운계란이 없었네요
5215,li**님,2017년 9월 25일,-,-,-,늘먹던굽네인데 어제 먹고 장염..새벽까지 난리..ㅜㅜ 혹시 다른분들은 동일증상 없었나요 휴..
5216,   손님,2017년 9월 24일,-,-,-,맛있고 다 좋은데 배송소요 시간이 길어 아쉬워요ㅠ
5217,do**님,2017년 9월 24일,-,-,-,"처음 먹어봤는데 맛있었어요 
감사합니다^^"
5218,ys**님,2017년 9월 24일,-,-,-,마싯써요 잘머것어용 ㅎㅎ
5219,   손님,2017년 9월 23일,-,-,-,늦은시간인데도 배달해준분  너무친절하시고~덕분에 너무맛있게 잘먹었습니다~
5220,   손님,2017년 9월 20일,-,-,-,맛있어용
5221,wo**님,2017년 9월 19일,-,-,-,여기만시킵니다!
5222,ys**님,2017년 9월 17일,-,-,-,오늘도 맛있어요 감사합니다 ㅎㅎ
5223,ys**님,2017년 9월 16일,-,-,-,맛있어욤
5224,lu**님,2017년 9월 16일,-,-,-,볼케이노 맛나요
5225,   손님,2017년 9월 15일,-,-,-,맛있어요
5226,   손님,2017년 9월 15일,-,-,-,맛있게 잘 먹었어용~~
5227,   손님,2017년 9월 13일,-,-,-,맛나요 기름이 덜 빠진게 좀 ...
5228,lj**님,2017년 9월 12일,-,-,-,전 순살 오리지널이 제일 맛잇네여
5229,ta**님,2017년 9월 11일,-,-,-,양도 너무 적고 배달원이 불친철하네요
5230,   손님,2017년 9월 10일,-,-,-,"만 칠천원 가치가 이것밖에 안되나요....

냉동닭 얼마나 오래 구웠는지 완전 딱딱 하기만 하고.... 양념만 맛있더군요. 고기 버리고 양념에 밥 비벼먹었슴."
5231,   손님,2017년 9월 8일,-,-,-,맛있어요 배달도빠르고요
5232,   손님,2017년 9월 7일,-,-,-,핵맛
5233,   손님,2017년 9월 7일,-,-,-,맛있어요
5234,   손님,2017년 9월 7일,-,-,-,"맛있게잘먹었어요
저는 가슴살을 좋아해서 가슴살많은게 좋았는데
가슴살싫어하시는분은 싫어하실지도?"
5235,   손님,2017년 9월 4일,-,-,-,"굽네 맛납니다 ㅎ
기름지지 않고...양이 좀 작은거 빼곤 최고죠"
